ticker,security_name,sp500,djia30
PVH,PVH Corp.,TRUE,FALSE
QRVO,Qorvo,TRUE,FALSE
PWR,Quanta Services Inc.,TRUE,FALSE
QCOM,QUALCOMM Inc.,TRUE,FALSE
DGX,Quest Diagnostics,TRUE,FALSE
RL,Ralph Lauren Corporation,TRUE,FALSE
RJF,Raymond James Financial Inc.,TRUE,FALSE
RTX,Raytheon Technologies,TRUE,TRUE
O,Realty Income Corporation,TRUE,FALSE
REG,Regency Centers Corporation,TRUE,FALSE
REGN,Regeneron Pharmaceuticals,TRUE,FALSE
RF,Regions Financial Corp.,TRUE,FALSE
RSG,Republic Services Inc,TRUE,FALSE
RMD,ResMed,TRUE,FALSE
RHI,Robert Half International,TRUE,FALSE
ROK,Rockwell Automation Inc.,TRUE,FALSE
ROL,Rollins Inc.,TRUE,FALSE
ROP,Roper Technologies,TRUE,FALSE
ROST,Ross Stores,TRUE,FALSE
RCL,Royal Caribbean Cruises Ltd,TRUE,FALSE
SPGI,"S&P Global, Inc.",TRUE,FALSE
CRM,Salesforce.com,TRUE,FALSE
SBAC,SBA Communications,TRUE,FALSE
SLB,Schlumberger Ltd.,TRUE,FALSE
STX,Seagate Technology,TRUE,FALSE
SEE,Sealed Air,TRUE,FALSE
SRE,Sempra Energy,TRUE,FALSE
NOW,ServiceNow,TRUE,FALSE
SHW,Sherwin-Williams,TRUE,FALSE
SPG,Simon Property Group Inc,TRUE,FALSE
SWKS,Skyworks Solutions,TRUE,FALSE
SLG,SL Green Realty,TRUE,FALSE
SNA,Snap-on,TRUE,FALSE
SO,Southern Company,TRUE,FALSE
LUV,Southwest Airlines,TRUE,FALSE
SWK,Stanley Black & Decker,TRUE,FALSE
SBUX,Starbucks Corp.,TRUE,FALSE
STT,State Street Corp.,TRUE,FALSE
STE,STERIS plc,TRUE,FALSE
SYK,Stryker Corp.,TRUE,FALSE
SIVB,SVB Financial,TRUE,FALSE
SYF,Synchrony Financial,TRUE,FALSE
SNPS,Synopsys Inc.,TRUE,FALSE
SYY,Sysco Corp.,TRUE,FALSE
TMUS,T-Mobile US,TRUE,FALSE
TROW,T. Rowe Price Group,TRUE,FALSE
TTWO,Take-Two Interactive,TRUE,FALSE
TPR,"Tapestry, Inc.",TRUE,FALSE
TGT,Target Corp.,TRUE,FALSE
TEL,TE Connectivity Ltd.,TRUE,FALSE
FTI,TechnipFMC,TRUE,FALSE
TDY,Teledyne Technologies,TRUE,FALSE
TFX,Teleflex,TRUE,FALSE
TXN,Texas Instruments,TRUE,FALSE
TXT,Textron Inc.,TRUE,FALSE
TMO,Thermo Fisher Scientific,TRUE,FALSE
TIF,Tiffany & Co.,TRUE,FALSE
TJX,TJX Companies Inc.,TRUE,FALSE
TSCO,Tractor Supply Company,TRUE,FALSE
TT,Trane Technologies plc,TRUE,FALSE
TDG,TransDigm Group,TRUE,FALSE
TRV,The Travelers Companies Inc.,TRUE,TRUE
TFC,Truist Financial,TRUE,FALSE
TWTR,"Twitter, Inc.",TRUE,FALSE
TYL,Tyler Technologies,TRUE,FALSE
TSN,Tyson Foods,TRUE,FALSE
UDR,"UDR, Inc.",TRUE,FALSE
ULTA,Ulta Beauty,TRUE,FALSE
USB,U.S. Bancorp,TRUE,FALSE
UAA,Under Armour (Class A),TRUE,FALSE
UA,Under Armour (Class C),TRUE,FALSE
UNP,Union Pacific Corp,TRUE,FALSE
UAL,United Airlines Holdings,TRUE,FALSE
UNH,United Health Group Inc.,TRUE,TRUE
UPS,United Parcel Service,TRUE,FALSE
URI,"United Rentals, Inc.",TRUE,FALSE
UHS,Universal Health Services,TRUE,FALSE
UNM,Unum Group,TRUE,FALSE
VFC,VF Corporation,TRUE,FALSE
VLO,Valero Energy,TRUE,FALSE
VAR,Varian Medical Systems,TRUE,FALSE
VTR,Ventas Inc,TRUE,FALSE
VRSN,Verisign Inc.,TRUE,FALSE
VRSK,Verisk Analytics,TRUE,FALSE
VZ,Verizon Communications,TRUE,TRUE
VRTX,Vertex Pharmaceuticals Inc,TRUE,FALSE
VIAC,ViacomCBS,TRUE,FALSE
V,Visa Inc.,TRUE,TRUE
VNO,Vornado Realty Trust,TRUE,FALSE
VMC,Vulcan Materials,TRUE,FALSE
WRB,W. R. Berkley Corporation,TRUE,FALSE
WAB,Wabtec Corporation,TRUE,FALSE
WMT,Walmart,TRUE,TRUE
WBA,Walgreens Boots Alliance,TRUE,TRUE
DIS,The Walt Disney Company,TRUE,TRUE
WM,Waste Management Inc.,TRUE,FALSE
WAT,Waters Corporation,TRUE,FALSE
WEC,WEC Energy Group,TRUE,FALSE
WFC,Wells Fargo,TRUE,FALSE
WELL,Welltower Inc.,TRUE,FALSE
WST,West Pharmaceutical Services,TRUE,FALSE
WDC,Western Digital,TRUE,FALSE
WU,Western Union Co,TRUE,FALSE
WRK,WestRock,TRUE,FALSE
WY,Weyerhaeuser,TRUE,FALSE
WHR,Whirlpool Corp.,TRUE,FALSE
WMB,Williams Companies,TRUE,FALSE
WLTW,Willis Towers Watson,TRUE,FALSE
WYNN,Wynn Resorts Ltd,TRUE,FALSE
XEL,Xcel Energy Inc,TRUE,FALSE
XRX,Xerox,TRUE,FALSE
XLNX,Xilinx,TRUE,FALSE
XYL,Xylem Inc.,TRUE,FALSE
YUM,Yum! Brands Inc,TRUE,FALSE
ZBRA,Zebra Technologies,TRUE,FALSE
ZBH,Zimmer Biomet Holdings,TRUE,FALSE
ZION,Zions Bancorp,TRUE,FALSE
ZTS,Zoetis,TRUE,FALSE
