date,company_name,name,action
11/10/2006,Fidelity National Information Services,FIS,added_ticker
11/10/2006,CBRE Group,CBRE,added_ticker
11/17/2006,Cognizant Technology Solutions,CTSH,added_ticker
1/10/2007,"AvalonBay Communities, Inc.",AVB,added_ticker
1/10/2007,Symbol Technologies,SBL,removed_ticker
2/2/2007,Ralph Lauren Corporation,RL,added_ticker
2/12/2007,Varian Medical Systems,VAR,added_ticker
3/2/2007,C. H. Robinson Worldwide,CHRW,added_ticker
3/20/2007,Host Hotels & Resorts,HST,added_ticker
3/30/2007,Kraft Foods,KFT,added_ticker
3/30/2007,Sabre Holdings,TSG,removed_ticker
4/10/2007,Assurant,AIZ,added_ticker
7/2/2007,Discover Financial Services,DFS,added_ticker
7/12/2007,Akamai Technologies Inc,AKAM,added_ticker
8/24/2007,KeySpan,KSE,removed_ticker
8/24/2007,Leucadia National,LUK,added_ticker
8/27/2007,Jefferies Financial Group,JEF,added_ticker
9/7/2007,Microchip Technology,MCHP,added_ticker
9/26/2007,Intercontinental Exchange,ICE,added_ticker
10/2/2007,Expedia Group,EXPE,added_ticker
10/8/2007,Noble Energy Inc,NBL,added_ticker
10/10/2007,Expeditors,EXPD,added_ticker
10/25/2007,Avaya Inc.,AV,removed_ticker
10/25/2007,Jacobs Engineering Group,JEC,added_ticker
10/26/2007,Jacobs Engineering Group,JEC,added_ticker
11/19/2007,American Tower Corp.,AMT,added_ticker
12/13/2007,GameStop,GME,added_ticker
12/13/2007,Dow Jones,DJ,removed_ticker
12/20/2007,Tribune Co.,TRB,removed_ticker
12/20/2007,Range Resources,RRC,added_ticker
1/2/2008,Total System Services,TSS,added_ticker
3/31/2008,Philip Morris International,PM,added_ticker
3/31/2008,HCP Inc.,HCP,added_ticker
6/2/2008,Intuitive Surgical Inc.,ISRG,added_ticker
6/10/2008,Ambac Financial,ABK,removed_ticker
6/10/2008,Lorillard Inc.,LO,added_ticker
6/23/2008,Cabot Oil & Gas,COG,added_ticker
7/18/2008,Mastercard Inc.,MA,added_ticker
7/31/2008,DaVita Inc.,DVA,added_ticker
8/21/2008,Invesco Ltd.,IVZ,added_ticker
8/27/2008,CF Industries Holdings Inc,CF,added_ticker
9/15/2008,Salesforce.com,CRM,added_ticker
9/24/2008,Pioneer Natural Resources,PXD,added_ticker
9/30/2008,Amphenol Corp,APH,added_ticker
10/2/2008,Flowserve Corporation,FLS,added_ticker
10/22/2008,"Nasdaq, Inc.",NDAQ,added_ticker
10/31/2008,Wec Energy Group Inc,WEC,added_ticker
11/6/2008,JM Smucker,SJM,added_ticker
11/13/2008,People's United Financial,PBCT,added_ticker
11/14/2008,Wynn Resorts Ltd,WYNN,added_ticker
11/14/2008,Dentsply Sirona,XRAY,added_ticker
12/5/2008,Republic Services Inc,RSG,added_ticker
1/2/2009,FLIR Systems,FLIR,added_ticker
1/6/2009,Iron Mountain Incorporated,IRM,added_ticker
1/30/2009,Welltower Inc.,WELL,added_ticker
3/3/2009,Ventas Inc.,VTR,added_ticker
3/3/2009,Hormel Foods,HRL,added_ticker
3/3/2009,Jones Apparel Group,JNY,removed_ticker
3/3/2009,American Capital,ACAS,removed_ticker
3/4/2009,Hormel Foods Corp.,HRL,added_ticker
3/4/2009,Ventas Inc,VTR,added_ticker
3/27/2009,O'Reilly Automotive,ORLY,added_ticker
6/5/2009,TechnipFMC,FTI,added_ticker
7/1/2009,Western Digital,WDC,added_ticker
7/1/2009,Quanta Services Inc.,PWR,added_ticker
8/19/2009,FMC Corporation,FMC,added_ticker
9/15/2009,Fastenal Co,FAST,added_ticker
9/28/2009,Airgas Inc,ARG,added_ticker
9/28/2009,Cooper Industries Ltd.,CBE,removed_ticker
11/3/2009,Priceline.com,PCLN,added_ticker
11/3/2009,Schering-Plough Corp.,SGP,removed_ticker
11/6/2009,Booking Holdings Inc,BKNG,added_ticker
12/21/2009,Ross Stores,ROST,added_ticker
12/21/2009,Visa Inc.,V,added_ticker
12/23/2009,Roper Technologies,ROP,added_ticker
1/29/2010,NRG Energy,NRG,added_ticker
2/16/2010,Berkshire Hathaway,BRK.B,added_ticker
2/26/2010,Helmerich & Payne,HP,added_ticker
2/26/2010,IMS Health,RX,removed_ticker
3/1/2010,Helmerich & Payne,HP,added_ticker
3/1/2010,Discovery Inc. Class A,DISCA,added_ticker
3/15/2010,ONEOK,OKE,added_ticker
4/29/2010,BJ Services Company,BJS,removed_ticker
4/29/2010,Cerner Corp.,CERN,added_ticker
4/30/2010,Cerner,CERN,added_ticker
6/28/2010,Carmax Inc,KMX,added_ticker
6/28/2010,XTO Energy Inc.,XTO,removed_ticker
6/30/2010,QEP Resources,QEP,added_ticker
6/30/2010,Questar Corp.,STR,removed_ticker
7/14/2010,Chubb Limited,CB,added_ticker
7/14/2010,Millipore Inc.,MIL,removed_ticker
7/15/2010,Chubb Limited,CB,added_ticker
8/26/2010,Smith International Inc.,SII,removed_ticker
8/26/2010,Tyco International Ltd.,TYC,added_ticker
8/27/2010,Johnson Controls International,JCI,added_ticker
11/17/2010,Ingersoll-Rand PLC,IR,added_ticker
12/17/2010,Office Depot Inc.,ODP,removed_ticker
12/17/2010,The New York Times Co.,NYT,removed_ticker
12/17/2010,Newfield Exploration,NFX,added_ticker
12/17/2010,Eastman Kodak Co.,EK,removed_ticker
12/17/2010,Cablevision Systems Corp.,CVC,added_ticker
12/17/2010,King Pharmaceuticals Inc.,KG,removed_ticker
12/17/2010,F5 Networks Inc.,FFIV,added_ticker
12/17/2010,Netflix Inc.,NFLX,added_ticker
12/20/2010,Netflix Inc.,NFLX,added_ticker
12/20/2010,F5 Networks,FFIV,added_ticker
2/25/2011,Joy Global Inc.,JOY,added_ticker
2/25/2011,Allegheny Energy Inc.,AYE,removed_ticker
2/28/2011,Covidien Plc,COV,added_ticker
2/28/2011,McAfee Inc.,MFE,removed_ticker
3/31/2011,Qwest Communications,Q,removed_ticker
3/31/2011,Edwards Lifesciences,EW,added_ticker
4/1/2011,BlackRock,BLK,added_ticker
4/1/2011,Edwards Lifesciences,EW,added_ticker
4/1/2011,Genzyme Corp.,GENZ,removed_ticker
4/4/2011,BlackRock,BLK,added_ticker
4/27/2011,Chipotle Mexican Grill,CMG,added_ticker
4/27/2011,"Novell, Inc.",NOVL,removed_ticker
4/28/2011,Chipotle Mexican Grill,CMG,added_ticker
6/1/2011,"Alpha Natural Resources, Inc.",ANR,added_ticker
6/1/2011,Massey Energy Company,MEE,removed_ticker
6/30/2011,RadioShack Corp.,RSH,removed_ticker
6/30/2011,Marathon Petroleum Corp,MPC,added_ticker
7/1/2011,Marathon Petroleum,MPC,added_ticker
7/5/2011,Accenture plc,ACN,added_ticker
7/5/2011,Marshall & Iisley Corp.,MI,removed_ticker
7/6/2011,Accenture plc,ACN,added_ticker
9/23/2011,National Semiconductor Corp.,NSM,removed_ticker
9/23/2011,The Mosaic Company,MOS,added_ticker
9/26/2011,The Mosaic Company,MOS,added_ticker
10/14/2011,TE Connectivity Ltd.,TEL,added_ticker
10/14/2011,Cephalon Inc.,CEPH,removed_ticker
10/17/2011,TE Connectivity Ltd.,TEL,added_ticker
10/31/2011,Xylem Inc.,XYL,added_ticker
10/31/2011,ITT Corp.,ITT,removed_ticker
11/1/2011,Xylem Inc.,XYL,added_ticker
11/18/2011,Janus Capital Group,JNS,removed_ticker
11/18/2011,Cooper Industries,CBE,added_ticker
12/12/2011,Nicor Inc.,GAS,removed_ticker
12/12/2011,AGL Resources Inc.,GAS,added_ticker
12/16/2011,MEMC Electronic Materials Inc.,WFR,removed_ticker
12/16/2011,BorgWarner Inc.,BWA,added_ticker
12/16/2011,Monster Worldwide Inc.,MWW,removed_ticker
12/16/2011,Perrigo Co.,PRGO,added_ticker
12/16/2011,Dollar Tree Inc.,DLTR,added_ticker
12/16/2011,AK Steel Holding Corp.,AKS,removed_ticker
12/19/2011,Perrigo,PRGO,added_ticker
12/19/2011,BorgWarner,BWA,added_ticker
12/19/2011,Dollar Tree,DLTR,added_ticker
12/20/2011,Tellabs Inc.,TLAB,removed_ticker
12/20/2011,TripAdvisor Inc.,TRIP,added_ticker
12/21/2011,TripAdvisor,TRIP,added_ticker
12/31/2011,"WPX Energy, Inc.",WPX,added_ticker
12/31/2011,Compuware,CPWR,removed_ticker
3/13/2012,Constellation Energy Group,CEG,removed_ticker
3/13/2012,Crown Castle International Corp.,CCI,added_ticker
3/14/2012,Crown Castle International Corp.,CCI,added_ticker
4/3/2012,"Fossil, Inc.",FOSL,added_ticker
4/3/2012,Medco Health Solutions Inc.,MHS,removed_ticker
4/23/2012,Phillips 66,PSX,added_ticker
4/23/2012,Supervalu Inc.,SVU,removed_ticker
5/1/2012,Phillips 66,PSX,added_ticker
5/17/2012,El Paso Corp.,EP,removed_ticker
5/17/2012,Kinder Morgan,KMI,added_ticker
5/21/2012,Motorola Mobility,MMI,removed_ticker
5/21/2012,Alexion Pharmaceuticals,ALXN,added_ticker
5/25/2012,Alexion Pharmaceuticals,ALXN,added_ticker
5/25/2012,Kinder Morgan,KMI,added_ticker
6/5/2012,Lam Research,LRCX,added_ticker
6/5/2012,Novellus Systems,NVLS,removed_ticker
6/28/2012,Monster Beverage,MNST,added_ticker
6/29/2012,Sara Lee Corp.,SLE,removed_ticker
6/29/2012,Monster Beverage,MNST,added_ticker
6/29/2012,Lam Research,LRCX,added_ticker
7/2/2012,Progress Energy Inc,PGN,removed_ticker
7/2/2012,Seagate Technology,STX,added_ticker
7/31/2012,Ensco plc (now Valaris plc,ESV,added_ticker
7/31/2012,Goodrich Corporation,GR,removed_ticker
9/5/2012,LyondellBasell,LYB,added_ticker
9/5/2012,Sears Holding Corporation,SHLD,removed_ticker
10/1/2012,Pentair plc,PNR,added_ticker
10/1/2012,"DeVry, Inc.",DV,removed_ticker
10/1/2012,ADT Corp,ADT,added_ticker
10/1/2012,Lexmark Int'l Inc,LXK,removed_ticker
10/2/2012,Kraft Foods Group,KRFT,added_ticker
10/2/2012,Alpha Natural Resources,ANR,removed_ticker
10/2/2012,Mondelez International,MDLZ,added_ticker
10/10/2012,Sunoco Inc.,SUN,removed_ticker
10/10/2012,"PetSmart, Inc.",PETM,added_ticker
12/3/2012,Cooper Industries,CBE,removed_ticker
12/3/2012,Dollar General,DG,added_ticker
12/11/2012,R.R. Donnelley,RRD,removed_ticker
12/11/2012,Garmin Ltd.,GRMN,added_ticker
12/12/2012,Garmin Ltd.,GRMN,added_ticker
12/21/2012,Delphi Automotive,DLPH,added_ticker
12/21/2012,Titanium Metals,TIE,removed_ticker
12/24/2012,Aptiv Plc,APTV,added_ticker
12/31/2012,AbbVie Inc.,ABBV,added_ticker
12/31/2012,Federated Investors,FII,removed_ticker
2/15/2013,Big Lots Inc.,BIG,removed_ticker
2/15/2013,PVH Corp.,PVH,added_ticker
4/30/2013,Regeneron Pharmaceuticals,REGN,added_ticker
4/30/2013,MetroPCS,PCS,removed_ticker
5/1/2013,Regeneron Pharmaceuticals,REGN,added_ticker
5/8/2013,Coventry Health Care,CVH,removed_ticker
5/8/2013,Macerich,MAC,added_ticker
5/9/2013,Macerich,MAC,added_ticker
5/23/2013,Dean Foods,DF,removed_ticker
5/23/2013,Kansas City Southern,KSU,added_ticker
5/24/2013,Kansas City Southern,KSU,added_ticker
6/6/2013,General Motors,GM,added_ticker
6/6/2013,H. J. Heinz Company,HNZ,removed_ticker
6/21/2013,First Horizon,FHN,removed_ticker
6/21/2013,Zoetis,ZTS,added_ticker
6/28/2013,Apollo Group Inc.,APOL,removed_ticker
6/28/2013,21st Century Fox,FOXA,added_ticker
7/1/2013,Fox Corporation Class A,FOXA,added_ticker
7/8/2013,Sprint Nextel Corp.,S,removed_ticker
7/8/2013,Nielsen Holdings,NLSN,added_ticker
7/9/2013,Nielsen Holdings,NLSN,added_ticker
8/1/2013,News Corp. Class A,NWSA,added_ticker
9/10/2013,Delta Air Lines,DAL,added_ticker
9/10/2013,BMC Software,BMC,removed_ticker
9/11/2013,Delta Air Lines Inc.,DAL,added_ticker
9/20/2013,Vertex Pharmaceuticals,VRTX,added_ticker
9/20/2013,Ametek,AME,added_ticker
9/20/2013,SAIC,SAI,removed_ticker
9/20/2013,Advanced Micro Devices,AMD,removed_ticker
9/23/2013,AMETEK Inc.,AME,added_ticker
9/23/2013,Vertex Pharmaceuticals Inc,VRTX,added_ticker
10/29/2013,"Dell, Inc.",DELL,removed_ticker
10/29/2013,Transocean,RIG,added_ticker
11/13/2013,NYSE Euronext,NYX,removed_ticker
11/13/2013,Michael Kors,KORS,added_ticker
11/13/2013,Capri Holdings,CPRI,added_ticker
12/2/2013,J.C. Penney,JCP,removed_ticker
12/2/2013,Allegion,ALLE,added_ticker
12/10/2013,General Growth Properties,GGP,added_ticker
12/10/2013,Molex Inc.,MOLX,removed_ticker
